,gold_present,wrong_present,gold2_present,wrong2_present,out,out2,order,question1,question2,f11,f12,ac,ac2,judge,og_accuracy,cf_accuracy,orig_comp,cf_comp
hotpot-5a7912c255429974737f796a,True,False,False,True,Meyer Schapiro,Meyer Schapiro (23 September 1904 –  3,orig,"Who was born first, Julia Alvarez or Meyer Schapiro?","Who was born last, Julia Alvarez or Meyer Schapiro?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-4e4379f108af11ebbd83ac1f6bf848b6,True,False,False,False,"James Henry Plummer ( February 19, 1848",,switched,Was Cezinando or James Henry Plummer born first?,Was Cezinando or James Henry Plummer born last?,0.5454545454545454,0.0,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-6127e18c08ca11ebbd92ac1f6bf848b6,True,False,False,False,Zoran Simjanović was born first,,switched,Was Dan Yaccarino or Zoran Simjanović born first?,Was Dan Yaccarino or Zoran Simjanović born last?,0.5714285714285715,0.0,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-74236bb2095111ebbdaeac1f6bf848b6,True,False,True,True,A Dark Lantern,A Dark Lantern. Kallattam was,orig,"Which film was released first, Kallattam or A Dark Lantern?","Which film was released last, Kallattam or A Dark Lantern?",1.0,0.2857142857142857,1.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-66b4669908e611ebbda5ac1f6bf848b6,True,False,False,True,Michael Giblett,Michael Giblett ( 16 April 1934 ) was,switched,Was Shaunard Harts or Michael Giblett born first?,Was Shaunard Harts or Michael Giblett born last?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
hotpot-5a7db0c15542997cc2c47471,True,False,False,True,Marguerite Yourcenar,Marguerite Yourcenar was born earlier than,switched,"Which writer was born first, Marguerite Yourcenar or Rosario Castellanos?","Which writer was born last, Marguerite Yourcenar or Rosario Castellanos?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-33108404090911ebbdadac1f6bf848b6,True,False,True,False,The Roaring Road.,Nowhere Left to Run.,switched,"Which film came out first, Nowhere Left To Run or The Roaring Road?","Which film came out last, Nowhere Left To Run or The Roaring Road?",0.8571428571428571,0.5714285714285715,0.0,0.0,Correct,1,1,first,last
2wiki-e94c23ea08d511ebbd98ac1f6bf848b6,True,False,False,True,Hans Ravenborg,Hans Ravenborg (5 April 1921 – 30 July,switched,"Who was born first, Hans Ravenborg or Tauras Tunyla?","Who was born last, Hans Ravenborg or Tauras Tunyla?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-f8d277e708cc11ebbd93ac1f6bf848b6,True,False,True,False,Stanley Quin,Soma Kumari Tennakoon (June 18,switched,Who was born first out of Soma Kumari Tennakoon and Stanley Quin?,Who was born last out of Soma Kumari Tennakoon and Stanley Quin?,1.0,0.7499999999999999,1.0,0.0,Correct,1,1,first,last
2wiki-bca4dd2008c911ebbd92ac1f6bf848b6,True,False,False,True,Arthur Jaques (7 March 1888),Arthur Jaimes (born 7 March 1888). T,switched,Was Maria Tsiartsiani or Arthur Jaques born first?,Was Maria Tsiartsiani or Arthur Jaques born last?,0.5714285714285715,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-b1e2ca0b097811ebbdb0ac1f6bf848b6,True,False,True,False,The Sea Ghost,Bas Ek Pal (2006) was released later than,orig,"Which film came out earlier, The Sea Ghost or Bas Ek Pal?","Which film came out later, The Sea Ghost or Bas Ek Pal?",1.0,0.5454545454545454,1.0,0.0,Correct,1,1,earlier,later
2wiki-85083a5908ae11ebbd83ac1f6bf848b6,True,False,False,True,Geoffrey Bush,Geoffrey Bush,orig,"Who was born first, Maxime Daniel or Geoffrey Bush?","Who was born last, Maxime Daniel or Geoffrey Bush?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-c886249f08d011ebbd95ac1f6bf848b6,True,False,False,True,George Hamlin (20 September 1869 – 20,George Hamlin ( 20 September 1869 – 20,orig,"Who is younger, George Hamlin or George Braund?","Who is older, George Hamlin or George Braund?",0.4444444444444445,0.2,0.0,0.0,Fail,1,0,younger,older
2wiki-ff1a96c708f211ebbdaaac1f6bf848b6,True,False,True,False,Chitty Chitty Bang Bang (a 1968 British,The Valley Of Fear (Film),orig,"Which film was released more recently, The Valley Of Fear (Film) or Chitty Chitty Bang Bang?","Which film was released earlier, The Valley Of Fear (Film) or Chitty Chitty Bang Bang?",0.36363636363636365,0.8000000000000002,0.0,0.0,Correct,1,1,recently,earlier
2wiki-50f06f35086c11ebbd61ac1f6bf848b6,True,False,False,True,Dr. John H. Griffin is not alive and,"Dr. John H. Griffin, as he died",switched,"Who is older, John H. Griffin or Ranasinghe Premadasa?","Who is younger, John H. Griffin or Ranasinghe Premadasa?",0.30769230769230765,0.0,0.0,0.0,Fail,1,0,older,younger
2wiki-5f59ebd6096d11ebbdafac1f6bf848b6,False,True,True,False,Sakkarakatti ( 2008 Tamil musical romantic comedy,Sakkarakatti (2008) was released on,switched,"Which film came out first, Sakkarakatti or Querô?","Which film came out last, Sakkarakatti or Querô?",0.0,0.33333333333333337,0.0,0.0,Fail,0,1,first,last
hotpot-5a75df3255429976ec32bc55,True,False,True,False,Nenad Zimonjić,Max Mirnyi ( Maxim Mihalyev,orig,"Who was born earlier, Nenad Zimonjić or Max Mirnyi?","Who was born later, Nenad Zimonjić or Max Mirnyi?",1.0,0.5714285714285715,1.0,0.0,Correct,1,1,earlier,later
2wiki-40d0439608c511ebbd8eac1f6bf848b6,False,False,True,False,,Samuel Hoar.,orig,"Who died later, Samuel Hoar or Bryan Stephens?","Who died earlier, Samuel Hoar or Bryan Stephens?",0.0,0.8,0.0,0.0,Doubled_or_neither,0,1,later,earlier
hotpot-5a7e616b5542991319bc947f,True,False,False,True,Jan Bucquoy.,Jan Bucquoy (born 16 November 1945),switched,"Which film maker is older, Jan Bucquoy or Stan Moore?","Which film maker is younger, Jan Bucquoy or Stan Moore?",0.8,0.0,0.0,0.0,Fail,1,0,older,younger
2wiki-d2ec49da08bd11ebbd8aac1f6bf848b6,True,False,True,False,Marta Wittkowska,Rafiq Husain,switched,"Who died first, Marta Wittkowska or Rafiq Husain?","Who died last, Marta Wittkowska or Rafiq Husain?",1.0,1.0,1.0,1.0,Correct,1,1,first,last
hotpot-5a8b9fa9554299240d9c203d,True,False,True,False,East of Chicago Pizza.,MOD Pizza.,switched,"Which company was founded first, East of Chicago Pizza or MOD Pizza?","Which company was founded last, East of Chicago Pizza or MOD Pizza?",0.888888888888889,0.8,0.0,0.0,Correct,1,1,first,last
2wiki-95de2eec085d11ebbd5cac1f6bf848b6,True,False,False,True,Kostas Spiropoulos,Kostas Spiropoulos. The answer,orig,"Who was born first, Ihor Rutkovsky or Kostas Spiropoulos?","Who was born last, Ihor Rutkovsky or Kostas Spiropoulos?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-aa0250af089111ebbd73ac1f6bf848b6,False,True,True,True,Amina El Filali. Amina El Fil,James Ronald Chalker. Amina El Fil,switched,"Who died earlier, Amina El Filali or James Chalker?","Who died later, Amina El Filali or James Chalker?",0.0,0.4,0.0,0.0,Doubled_or_neither,0,0,earlier,later
2wiki-7ffa200108fc11ebbdadac1f6bf848b6,True,False,False,True,Evangelina Villegas,Evangelina Villegas. Evangelina Villeg,orig,"Who was born first, Evangelina Villegas or Deng Zhiwei?","Who was born last, Evangelina Villegas or Deng Zhiwei?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-7935111608a811ebbd7fac1f6bf848b6,False,True,False,False,Norman Blacklock was the older person by 5 years,,switched,"Who is younger, Norman Blacklock or Pierre De Villiers?","Who is older, Norman Blacklock or Pierre De Villiers?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,younger,older
2wiki-a573fae108a711ebbd7fac1f6bf848b6,True,False,True,False,"Gustav Guanella is not alive, while","Andrew Brook (born March 17, 1943) is",orig,"Who is older, Gustav Guanella or Andrew Brook?","Who is younger, Gustav Guanella or Andrew Brook?",0.4444444444444445,0.4,0.0,0.0,Correct,1,1,older,younger
2wiki-9c8330a908ad11ebbd83ac1f6bf848b6,True,False,True,False,Peter Maltitz Anderson,Kin Yamei,switched,"Who died later, Kin Yamei or Peter Maltitz Anderson?","Who died earlier, Kin Yamei or Peter Maltitz Anderson?",1.0,1.0,1.0,1.0,Correct,1,1,later,earlier
2wiki-f6c36e7d08d811ebbd9cac1f6bf848b6,True,False,False,True,Joseph Grigsby Smyth ( June 8,Joseph Grigsby Smyth. Joseph Gr,orig,"Who died first, Virgil Mckinley or Joseph Grigsby Smyth?","Who died last, Virgil Mckinley or Joseph Grigsby Smyth?",0.6666666666666666,0.0,0.0,0.0,Fail,1,0,first,last
2wiki-b44d3b27088411ebbd6dac1f6bf848b6,True,False,True,False,"Marjorie Kane ( April 28, 1909 –",Thomas Albert Prince ( Tom Prince ) was born on,orig,"Who was born earlier, Tom Prince or Marjorie Kane?","Who was born later, Tom Prince or Marjorie Kane?",0.4,0.33333333333333337,0.0,0.0,Correct,1,1,earlier,later
2wiki-4fd1e77108dc11ebbd9cac1f6bf848b6,True,False,True,False,"Kelly Weekers ( born August 20, 1989 )",Jody Hunt,switched,"Who was born later, Kelly Weekers or Jody Hunt?","Who was born earlier, Kelly Weekers or Jody Hunt?",0.3636363636363636,1.0,0.0,1.0,Correct,1,1,later,earlier
2wiki-929850b508d511ebbd98ac1f6bf848b6,True,False,True,False,Cyrill Gasser. Cyrill G,Ross McFarlane (born 25 May 1961,switched,"Who was born later, Ross McFarlane or Cyrill Gasser?","Who was born earlier, Ross McFarlane or Cyrill Gasser?",0.5714285714285715,0.5,0.0,0.0,Correct,1,1,later,earlier
2wiki-745885e1088c11ebbd6fac1f6bf848b6,True,False,True,False,Mauritius Ngupita.,Jenny Algelid-Bengtsson (,orig,"Who was born later, Jenny Algelid-Bengtsson or Mauritius Ngupita?","Who was born earlier, Jenny Algelid-Bengtsson or Mauritius Ngupita?",0.8,0.8,0.0,0.0,Correct,1,1,later,earlier
2wiki-7fb658f108ea11ebbda7ac1f6bf848b6,False,False,True,True,,Tan-Badan was released before Fidibus,orig,"Which film came out earlier, Fidibus or Tan-Badan?","Which film came out later, Fidibus or Tan-Badan?",0.0,0.33333333333333337,0.0,0.0,Doubled_or_neither,0,0,earlier,later
2wiki-84dfa01508c111ebbd8bac1f6bf848b6,True,False,False,True,Frank Giroud,Frank Giroud,orig,"Who died earlier, Kurt Stendal or Frank Giroud?","Who died later, Kurt Stendal or Frank Giroud?",1.0,0.0,1.0,0.0,Fail,1,0,earlier,later
2wiki-25a4959b08cf11ebbd94ac1f6bf848b6,False,False,True,False,,Sarah Jane Coyte (born 30 March 1991),switched,Was Nina Eichinger or Sarah Cady born first?,Was Nina Eichinger or Sarah Cady born last?,0.0,0.22222222222222224,0.0,0.0,Doubled_or_neither,0,1,first,last
2wiki-0fa22d6a088711ebbd6dac1f6bf848b6,False,False,True,False,,David Fabricius.,switched,"Who died later, David Fabricius or Asa White Kenney Billings?","Who died earlier, David Fabricius or Asa White Kenney Billings?",0.0,0.8,0.0,0.0,Doubled_or_neither,0,1,later,earlier
2wiki-cdd1e73608b311ebbd86ac1f6bf848b6,True,False,True,False,Henry Dwight Terry.,Anton Nowak.,orig,"Who died first, Henry Dwight Terry or Anton Nowak?","Who died last, Henry Dwight Terry or Anton Nowak?",0.8571428571428571,0.8,0.0,0.0,Correct,1,1,first,last
2wiki-dd95dff4088811ebbd6eac1f6bf848b6,True,False,True,False,George Hingston Lake,Miguel Martínez Peñaloza.,orig,Who was born first out of George Hingston Lake and Miguel Martínez Peñaloza?,Who was born last out of George Hingston Lake and Miguel Martínez Peñaloza?,1.0,0.8571428571428571,1.0,0.0,Correct,1,1,first,last
2wiki-bb9a7013087d11ebbd6bac1f6bf848b6,False,False,True,False,,Igor Nikolayevich Zuboren,switched,"Who is younger, Goran Menkov or Igor Zuborenko?","Who is older, Goran Menkov or Igor Zuborenko?",0.0,0.4,0.0,0.0,Doubled_or_neither,0,1,younger,older
2wiki-796c73cf094611ebbdaeac1f6bf848b6,True,False,True,False,Akbar Salim Anarkali is the title,Maladroit. Maladroit was released on,switched,"Which album was released earlier, Akbar Salim Anarkali or Maladroit?","Which album was released later, Akbar Salim Anarkali or Maladroit?",0.6666666666666666,0.2857142857142857,0.0,0.0,Correct,1,1,earlier,later
2wiki-111dcfba085211ebbd58ac1f6bf848b6,True,False,True,False,Etter Rubicon.,Mental Madhilo.,orig,"Which film was released earlier, Etter Rubicon or Mental Madhilo?","Which film was released later, Etter Rubicon or Mental Madhilo?",0.8,0.8,0.0,0.0,Correct,1,1,earlier,later
2wiki-0ef318e6088e11ebbd70ac1f6bf848b6,True,False,False,True,Othmar Blumer,Othmar Blumer,switched,Who was born first out of Othmar Blumer and Marja Auroma?,Who was born last out of Othmar Blumer and Marja Auroma?,1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-627d8f2a086211ebbd5dac1f6bf848b6,True,False,True,False,Growing Artichokes In Mimongo,"Bus Lane (or ""May narok muay",orig,"Which film came out first, Bus Lane (Film) or Growing Artichokes In Mimongo?","Which film came out last, Bus Lane (Film) or Growing Artichokes In Mimongo?",1.0,0.4444444444444444,1.0,0.0,Correct,1,1,first,last
2wiki-ade35235087511ebbd67ac1f6bf848b6,False,True,False,True,Edmund Bruggmann,"Milton H. Bren ( June 14, 1904 –",switched,Was Edmund Bruggmann or Milton H. Bren born first?,Was Edmund Bruggmann or Milton H. Bren born last?,0.0,0.0,0.0,0.0,Reversed,0,0,first,last
2wiki-0723c73108b811ebbd88ac1f6bf848b6,True,False,False,False,"Marques Harris ( born September 20, 1981 )",,orig,"Who was born later, George William Addison or Marques Harris?","Who was born earlier, George William Addison or Marques Harris?",0.3636363636363636,0.0,0.0,0.0,Doubled_or_neither,1,0,later,earlier
2wiki-00aa6dc7090811ebbdadac1f6bf848b6,True,False,True,False,Ranga Sslc,"Gandhi, My Father (2007) was released later",orig,"Which film was released earlier, Gandhi, My Father or Ranga Sslc?","Which film was released later, Gandhi, My Father or Ranga Sslc?",1.0,0.2222222222222222,1.0,0.0,Correct,1,1,earlier,later
2wiki-121b698b08b211ebbd85ac1f6bf848b6,True,False,True,False,A Guy Named Joe.,Donga Mogudu. Donga M,switched,"Which film came out earlier, A Guy Named Joe or Donga Mogudu?","Which film came out later, A Guy Named Joe or Donga Mogudu?",0.888888888888889,0.5714285714285715,0.0,0.0,Correct,1,1,earlier,later
2wiki-eaaa5442090111ebbdadac1f6bf848b6,True,False,False,False,Pure Electric Honey. Pure Electric Honey was released in,,orig,"Which album came out earlier, Pure Electric Honey or Superman Was A Rocker?","Which album came out later, Pure Electric Honey or Superman Was A Rocker?",0.4615384615384615,0.0,0.0,0.0,Doubled_or_neither,1,0,earlier,later
2wiki-88966d0f08f211ebbdaaac1f6bf848b6,True,False,False,True,Peter Henriksen ( born 20 August 1972 ) is,Peter Henriksen. The Danish handball player was,switched,"Who was born earlier, Fatma Rashed or Peter Henriksen?","Who was born later, Fatma Rashed or Peter Henriksen?",0.3636363636363636,0.0,0.0,0.0,Fail,1,0,earlier,later
2wiki-b5687561088511ebbd6dac1f6bf848b6,False,True,True,False,Willie Trickets (William Tukotahi,Willie Tukotahi Clinton Rickards is younger,orig,"Who is older, Willie Rickards or Esben Hansen?","Who is younger, Willie Rickards or Esben Hansen?",0.0,0.5,0.0,0.0,Fail,0,1,older,younger
2wiki-b59edcd308b311ebbd86ac1f6bf848b6,True,False,True,False,Phantom Patrol (1936).,Danny Deckchair,switched,"Which film was released first, Danny Deckchair or Phantom Patrol?","Which film was released last, Danny Deckchair or Phantom Patrol?",0.6666666666666666,1.0,0.0,1.0,Correct,1,1,first,last
2wiki-04df822c08eb11ebbda7ac1f6bf848b6,False,True,True,False,"Justin Pitts ( born October 26, 1994) is","Justin Pitts ( born October 26, 1994 ) is",switched,"Who is younger, Édgar Villegas or Justin Pitts?","Who is older, Édgar Villegas or Justin Pitts?",0.0,0.33333333333333337,0.0,0.0,Fail,0,1,younger,older
2wiki-e93b148608a011ebbd78ac1f6bf848b6,True,False,True,False,Gaston De Gerlache de Gomery,Anni Rättyä (born 4 January,orig,"Who was born first, Gaston De Gerlache or Anni Rättyä?","Who was born last, Gaston De Gerlache or Anni Rättyä?",0.7499999999999999,0.5714285714285715,0.0,0.0,Correct,1,1,first,last
2wiki-495944a4096711ebbdafac1f6bf848b6,True,False,True,False,Norstedts förlag,Cyberdreams Interactive Entertainment,switched,"Which one was established first, Cyberdreams or Norstedts förlag?","Which one was established last, Cyberdreams or Norstedts förlag?",0.5,0.5,0.0,0.0,Correct,1,1,first,last
2wiki-a8a23eaf091f11ebbdaeac1f6bf848b6,True,False,True,False,Espionage In Lisbon,3D Sex And Zen: Extreme Ecst,orig,"Which film was released earlier, Espionage In Lisbon or 3D Sex And Zen: Extreme Ecstasy?","Which film was released later, Espionage In Lisbon or 3D Sex And Zen: Extreme Ecstasy?",1.0,0.6153846153846153,1.0,0.0,Correct,1,1,earlier,later
2wiki-fa5d178e093911ebbdaeac1f6bf848b6,False,False,True,False,,Anchor Baby (Film),orig,"Which film came out earlier, Anchor Baby (Film) or Dr. Goldfoot And The Girl Bombs?","Which film came out later, Anchor Baby (Film) or Dr. Goldfoot And The Girl Bombs?",0.0,0.6666666666666666,0.0,0.0,Doubled_or_neither,0,1,earlier,later
2wiki-3989c9e9086811ebbd5eac1f6bf848b6,True,False,True,False,Nikol Merizaj. Nikol Meriz,Malcolm Kpedekpo was born earlier on 27,switched,"Who was born later, Malcolm Kpedekpo or Nikol Merizaj?","Who was born earlier, Malcolm Kpedekpo or Nikol Merizaj?",0.5714285714285715,0.4444444444444445,0.0,0.0,Correct,1,1,later,earlier
2wiki-5f3575b108a511ebbd7dac1f6bf848b6,False,False,False,False,,,orig,"Who is older, Charles Fenwick or Ernest Blanc?","Who is younger, Charles Fenwick or Ernest Blanc?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,older,younger
2wiki-81abfaa2087911ebbd67ac1f6bf848b6,False,False,True,False,,Dr. Michael( Mike) Derrington Murphy,orig,"Who is younger, Michael Derrington Murphy or Matthew Tumilty?","Who is older, Michael Derrington Murphy or Matthew Tumilty?",0.0,0.4444444444444444,0.0,0.0,Doubled_or_neither,0,1,younger,older
2wiki-35198a17086911ebbd5eac1f6bf848b6,False,True,True,False,Bhukha,Bhukha,orig,"Which film was released first, Bhukha or The Great Sioux Uprising?","Which film was released last, Bhukha or The Great Sioux Uprising?",0.0,1.0,0.0,1.0,Fail,0,1,first,last
2wiki-185ff185084f11ebbd56ac1f6bf848b6,True,False,False,True,Marian Mcknight,Marian Mcknight,switched,"Who is older, Marian Mcknight or Manfred Misselhorn?","Who is younger, Marian Mcknight or Manfred Misselhorn?",1.0,0.0,1.0,0.0,Fail,1,0,older,younger
2wiki-0f611b0c08fa11ebbdacac1f6bf848b6,True,False,True,False,Main Tera Dushman,Mishawr Rawhoshyo was released,switched,"Which film was released earlier, Main Tera Dushman or Mishawr Rawhoshyo?","Which film was released later, Main Tera Dushman or Mishawr Rawhoshyo?",1.0,0.6666666666666666,1.0,0.0,Correct,1,1,earlier,later
2wiki-1120550a088411ebbd6dac1f6bf848b6,True,False,False,False,The Grey Fox.,Kyrsy ä – Tuftland (released,switched,"Which film came out first, Kyrsyä – Tuftland or The Grey Fox?","Which film came out last, Kyrsyä – Tuftland or The Grey Fox?",0.8571428571428571,0.0,0.0,0.0,Doubled_or_neither,1,0,first,last
2wiki-0dac8269085e11ebbd5cac1f6bf848b6,False,False,True,False,,Albert J. Smith (Actor) was born last,switched,Was De Scott Evans or Albert J. Smith (Actor) born first?,Was De Scott Evans or Albert J. Smith (Actor) born last?,0.0,0.36363636363636365,0.0,0.0,Doubled_or_neither,0,1,first,last
2wiki-6d00fc3f08c111ebbd8bac1f6bf848b6,True,False,False,True,Ana Isabel Alonso,"Ana Isabel Alonso (born August 16, 1963",switched,"Who was born first, Ana Isabel Alonso or Lutelu Tiute?","Who was born last, Ana Isabel Alonso or Lutelu Tiute?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
hotpot-5a7d5e125542991319bc93b5,True,False,True,False,Danie Visser (26 July 1961),Li Na,orig,"Between Li Na and Danie Visser, who was born earlier?","Between Li Na and Danie Visser, who was born later?",0.5714285714285715,1.0,0.0,1.0,Correct,1,1,earlier,later
2wiki-9ff99f9408bf11ebbd8aac1f6bf848b6,True,False,True,False,Henriette Bie Lorentzen.,Zoran Hristić,switched,"Who died first, Henriette Bie Lorentzen or Zoran Hristić?","Who died last, Henriette Bie Lorentzen or Zoran Hristić?",0.8571428571428571,1.0,0.0,1.0,Correct,1,1,first,last
2wiki-67cb754308ac11ebbd83ac1f6bf848b6,False,True,False,False,John Dalley was born first.,,orig,Who was born first out of John Dalley and Rosalind Knight?,Who was born last out of John Dalley and Rosalind Knight?,0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-ce71b109095611ebbdaeac1f6bf848b6,False,False,False,False,,,orig,"Which one was established first, Primagama Tutoring Institution or Zipcar?","Which one was established last, Primagama Tutoring Institution or Zipcar?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-d350448908f111ebbdaaac1f6bf848b6,False,False,False,False,,,switched,Who was born first out of Adam Nagaitis and Teddy Eccles?,Who was born last out of Adam Nagaitis and Teddy Eccles?,0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-a25a609c08c911ebbd92ac1f6bf848b6,False,False,False,True,,Carlo De Risio (born 3 June 1991,switched,"Who was born later, Carlo De Risio or Leverton Harris?","Who was born earlier, Carlo De Risio or Leverton Harris?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,later,earlier
2wiki-55edc66408a111ebbd79ac1f6bf848b6,True,False,True,False,Lukáš Gdula (born 6 December,Kenyon Pascoe Vaughan- Morgan (27,orig,"Who is younger, Kenyon Vaughan-Morgan or Lukáš Gdula?","Who is older, Kenyon Vaughan-Morgan or Lukáš Gdula?",0.5714285714285715,0.28571428571428575,0.0,0.0,Correct,1,1,younger,older
2wiki-4ecd55e408f011ebbda8ac1f6bf848b6,True,False,False,True,Masashi Onda,Masashi Onda,switched,"Who is younger, Masashi Onda or Numa Pompilius Garfield Adams?","Who is older, Masashi Onda or Numa Pompilius Garfield Adams?",1.0,0.0,1.0,0.0,Fail,1,0,younger,older
hotpot-5a7a5ef855429941d65f25e6,True,False,False,True,John Berry,"John Berry (September 6, 1917 ) was born",switched,"Who was born first, John Berry or Leonid Gaidai?","Who was born last, John Berry or Leonid Gaidai?",1.0,0.0,1.0,0.0,Fail,1,0,first,last
2wiki-8ba50d9f092c11ebbdaeac1f6bf848b6,True,False,True,False,Las Locuras Del Profesor (1979),Tamahine,orig,"Which film was released more recently, Tamahine or Las Locuras Del Profesor?","Which film was released earlier, Tamahine or Las Locuras Del Profesor?",0.888888888888889,1.0,0.0,1.0,Correct,1,1,recently,earlier
2wiki-85831e6208da11ebbd9cac1f6bf848b6,True,False,True,False,"Bobby Wayne Woods ( December 3, 2009)",Johann Krieger.,switched,"Who died later, Johann Krieger or Bobby Wayne Woods?","Who died earlier, Johann Krieger or Bobby Wayne Woods?",0.5454545454545454,0.8,0.0,0.0,Correct,1,1,later,earlier
hotpot-5a7d1115554299452d57bacb,True,False,True,False,The Biscuit Eater,Oceans,orig,What film was made first Oceans and The Biscuit Eater?,What film was made last Oceans and The Biscuit Eater?,1.0,1.0,1.0,1.0,Correct,1,1,first,last
2wiki-e77f75ea08e211ebbda4ac1f6bf848b6,True,False,True,False,Maximiano Errázuriz Zaldivies,Kor Sarr,orig,"Who is older, Kor Sarr or Maximiano Errázuriz?","Who is younger, Kor Sarr or Maximiano Errázuriz?",0.8,1.0,0.0,1.0,Correct,1,1,older,younger
2wiki-9ccbb20e086411ebbd5eac1f6bf848b6,True,False,True,False,"Dimitrie Ivanov ( September 24, 1944","Felix Schütz was born on November 3,",orig,Was Felix Schütz or Dimitrie Ivanov born first?,Was Felix Schütz or Dimitrie Ivanov born last?,0.4444444444444445,0.4,0.0,0.0,Correct,1,1,first,last
2wiki-561e84be089111ebbd73ac1f6bf848b6,True,True,True,False,Peter Throckmorton was born before Osni,Osni Purificação Neto,switched,"Who was born first, Osni Neto or Peter Throckmorton?","Who was born last, Osni Neto or Peter Throckmorton?",0.5,0.8,0.0,0.0,Doubled_or_neither,0,1,first,last
2wiki-56d40837087611ebbd67ac1f6bf848b6,False,True,False,False,Caroline Mary Brown (Cellist) was born first,,switched,"Who was born first, Caroline Brown (Cellist) or Zahid Abrol?","Who was born last, Caroline Brown (Cellist) or Zahid Abrol?",0.0,0.0,0.0,0.0,Doubled_or_neither,0,0,first,last
2wiki-e6ede4ba094c11ebbdaeac1f6bf848b6,True,False,False,False,Fried Green Tomatoes. Fried Green Tomatoes was,,switched,"Which film came out earlier, Fried Green Tomatoes or Ajji?","Which film came out later, Fried Green Tomatoes or Ajji?",0.5454545454545454,0.0,0.0,0.0,Doubled_or_neither,1,0,earlier,later
2wiki-3355b14208c011ebbd8aac1f6bf848b6,True,False,True,False,Reggie Nalder (born Alfred Reginal,Omar Ahmed Rashed ( born 9 December 1992),orig,"Who is older, Reggie Nalder or Omar Ahmed Rashed?","Who is younger, Reggie Nalder or Omar Ahmed Rashed?",0.5714285714285715,0.5454545454545454,0.0,0.0,Correct,1,1,older,younger
2wiki-31cf523408a611ebbd7eac1f6bf848b6,True,False,True,False,Under The Hula Moon,A Paris Education,switched,"Which film came out earlier, Under The Hula Moon or A Paris Education?","Which film came out later, Under The Hula Moon or A Paris Education?",1.0,1.0,1.0,1.0,Correct,1,1,earlier,later
2wiki-9c3f834c095311ebbdaeac1f6bf848b6,True,False,True,False,Prachy Dělaj Člově,Husbands In The City,switched,"Which film was released more recently, Prachy Dělaj Člověka or Husbands In The City?","Which film was released earlier, Prachy Dělaj Člověka or Husbands In The City?",0.6666666666666666,1.0,0.0,1.0,Correct,1,1,recently,earlier
2wiki-1f051f1a088a11ebbd6eac1f6bf848b6,True,False,True,False,Stricken Peninsula,Rickshaw Boy,orig,"Which film was released earlier, Stricken Peninsula or Rickshaw Boy (Film)?","Which film was released later, Stricken Peninsula or Rickshaw Boy (Film)?",1.0,1.0,1.0,1.0,Correct,1,1,earlier,later
2wiki-20e1429f08e811ebbda6ac1f6bf848b6,True,False,False,True,Bronco Billy ( 1980 ),Bronco Billy,switched,"Which film was released earlier, Bronco Billy or Maan Gaye Ustaad?","Which film was released later, Bronco Billy or Maan Gaye Ustaad?",0.5714285714285715,0.0,0.0,0.0,Fail,1,0,earlier,later
2wiki-468efad908d011ebbd95ac1f6bf848b6,True,False,True,False,Hillel Kook,"Kang Tae-Oh, Kang Tae-",switched,Was Hillel Kook or Kang Tae-Oh born first?,Was Hillel Kook or Kang Tae-Oh born last?,1.0,0.5714285714285715,1.0,0.0,Correct,1,1,first,last
2wiki-28d8c38608bf11ebbd8aac1f6bf848b6,True,False,False,False,Heidemarie Steiner is not in the given,,switched,"Who is older, Michael Atkinson or Heidemarie Steiner?","Who is younger, Michael Atkinson or Heidemarie Steiner?",0.4444444444444445,0.0,0.0,0.0,Doubled_or_neither,1,0,older,younger
2wiki-d6f1c62c08c711ebbd91ac1f6bf848b6,True,False,False,False,"Geoff Herbach was born earlier on October 30,",,orig,"Who was born earlier, Geoff Herbach or Brett Sharman?","Who was born later, Geoff Herbach or Brett Sharman?",0.3636363636363636,0.0,0.0,0.0,Doubled_or_neither,1,0,earlier,later
